"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","The user is able to view the date widget","Homepage Search","Fri Apr 25 23:47:02 SGT 2025","passed","Fri Apr 25 23:47:03 SGT 2025","","","",""
"","2518","The user enters keyword and hitting enter key (example #2)","Search Form","Sat Apr 26 00:22:40 SGT 2025","passed","Sat Apr 26 00:22:42 SGT 2025","","","",""
"","3051","The user location and clicking search button (example #2)","Search Form","Sat Apr 26 00:24:05 SGT 2025","passed","Sat Apr 26 00:24:08 SGT 2025","","","",""
"","1010","The user is able to view the location widget","Search Page - Search Form","Sat Apr 26 05:48:06 SGT 2025","passed","Sat Apr 26 05:48:07 SGT 2025","","","",""
"","3440","The user enters keyword and hitting enter key (example #1)","Homepage Search","Fri Apr 25 23:45:14 SGT 2025","passed","Fri Apr 25 23:45:18 SGT 2025","","","",""
"","2590","The user location and hitting enter key (example #3)","Search Page - Search Form","Sat Apr 26 05:47:31 SGT 2025","passed","Sat Apr 26 05:47:34 SGT 2025","","","",""
"","2353","The user date and clicking search button (example #2)","Homepage Search","Fri Apr 25 23:45:57 SGT 2025","passed","Fri Apr 25 23:45:59 SGT 2025","","","",""
"","1731","The user can access the different footer links (example #3)","Footer","Sat Apr 26 05:42:22 SGT 2025","passed","Sat Apr 26 05:42:23 SGT 2025","","","",""
"","854","The user is able to log in succesfully with valid credentials (example #5)","Login Function","Sat Apr 26 05:44:28 SGT 2025","passed","Sat Apr 26 05:44:28 SGT 2025","","","",""
"","2223","The user enters keyword and hitting enter key (example #3)","Homepage Search","Fri Apr 25 23:45:20 SGT 2025","passed","Fri Apr 25 23:45:22 SGT 2025","","","",""
"","2692","The user can see the footer and different links","Footer","Sat Apr 26 05:42:10 SGT 2025","passed","Sat Apr 26 05:42:13 SGT 2025","","","",""
"","3483","The user can access the different footer links (example #1)","Footer","Sat Apr 26 05:42:13 SGT 2025","passed","Sat Apr 26 05:42:16 SGT 2025","","","",""
"","4696","The user can visit the social media sites (example #3)","Footer","Sat Apr 26 05:42:53 SGT 2025","passed","Sat Apr 26 05:42:58 SGT 2025","","","",""
"","3617","The user keyword and clicking search button (example #1)","Homepage Search","Fri Apr 25 23:45:25 SGT 2025","passed","Fri Apr 25 23:45:29 SGT 2025","","","",""
"","2102","The user keyword and clicking search button (example #4)","Search Page - Search Form","Sat Apr 26 05:47:00 SGT 2025","passed","Sat Apr 26 05:47:02 SGT 2025","","","",""
"","2037","The user can change the language of the website (example #6)","Footer","Sat Apr 26 05:43:24 SGT 2025","passed","Sat Apr 26 05:43:26 SGT 2025","","","",""
"","3633","The user location and hitting enter key (example #3)","Search Form","Sat Apr 26 00:23:49 SGT 2025","passed","Sat Apr 26 00:23:52 SGT 2025","","","",""
"","1925","The user can see the about text","About Section in Homepage","Sat Apr 26 05:44:44 SGT 2025","passed","Sat Apr 26 05:44:46 SGT 2025","","","",""
"","3866","The user location and clicking search button (example #2)","Homepage Search","Fri Apr 25 23:46:34 SGT 2025","passed","Fri Apr 25 23:46:38 SGT 2025","","","",""
"","4394","The user is able to view recent keyword searches made (example #1)","Search Page - Search Form","Sat Apr 26 05:47:56 SGT 2025","passed","Sat Apr 26 05:48:00 SGT 2025","","","",""
"","4598","The user date and hitting enter key (example #3)","Search Form","Sat Apr 26 00:23:12 SGT 2025","passed","Sat Apr 26 00:23:17 SGT 2025","","","",""
"","1793","The user can change the language of the website (example #3)","Footer","Sat Apr 26 05:43:17 SGT 2025","passed","Sat Apr 26 05:43:19 SGT 2025","","","",""
"","3322","The user location and clicking search button (example #5)","Search Form","Sat Apr 26 00:24:16 SGT 2025","passed","Sat Apr 26 00:24:19 SGT 2025","","","",""
"","1032","The user is able to view the location widget","Homepage Search","Fri Apr 25 23:47:03 SGT 2025","passed","Fri Apr 25 23:47:04 SGT 2025","","","",""
"","3469","The user date and clicking search button (example #1)","Homepage Search","Fri Apr 25 23:45:53 SGT 2025","passed","Fri Apr 25 23:45:57 SGT 2025","","","",""
"","3726","The user date and clicking search button (example #3)","Search Form","Sat Apr 26 00:23:33 SGT 2025","passed","Sat Apr 26 00:23:36 SGT 2025","","","",""
"","3156","The user location and hitting enter key (example #4)","Homepage Search Form","Sat Apr 26 05:45:59 SGT 2025","passed","Sat Apr 26 05:46:02 SGT 2025","","","",""
"","3032","The user location and clicking search button (example #5)","Homepage Search Form","Sat Apr 26 05:46:22 SGT 2025","passed","Sat Apr 26 05:46:25 SGT 2025","","","",""
"","2335","The user keyword and clicking search button (example #4)","Search Form","Sat Apr 26 00:23:02 SGT 2025","passed","Sat Apr 26 00:23:05 SGT 2025","","","",""
"","3145","The user location and clicking search button (example #3)","Search Form","Sat Apr 26 00:24:09 SGT 2025","passed","Sat Apr 26 00:24:12 SGT 2025","","","",""
"","2180","The user date and clicking search button (example #1)","Search Page - Search Form","Sat Apr 26 05:47:14 SGT 2025","passed","Sat Apr 26 05:47:16 SGT 2025","","","",""
"","7396","The user is able to clear out recent searches","Search Page - Recent Searches","Sat Apr 26 05:48:15 SGT 2025","passed","Sat Apr 26 05:48:22 SGT 2025","","","",""
"","1755","The user is able to view the date widget","Search Form","Sat Apr 26 00:24:31 SGT 2025","passed","Sat Apr 26 00:24:33 SGT 2025","","","",""
"","2446","The user date and hitting enter key (example #3)","Search Page - Search Form","Sat Apr 26 05:47:08 SGT 2025","passed","Sat Apr 26 05:47:11 SGT 2025","","","",""
"","2903","The user location and hitting enter key (example #2)","Homepage Search","Fri Apr 25 23:46:13 SGT 2025","passed","Fri Apr 25 23:46:16 SGT 2025","","","",""
"","10673","The user can see different searches other users make","Common searches by other users in the Homepage","Sat Apr 26 05:44:51 SGT 2025","passed","Sat Apr 26 05:45:02 SGT 2025","","","",""
"","2070","The user keyword and clicking search button (example #1)","Search Page - Search Form","Sat Apr 26 05:46:53 SGT 2025","passed","Sat Apr 26 05:46:55 SGT 2025","","","",""
"","2718","The user location and hitting enter key (example #5)","Search Page - Search Form","Sat Apr 26 05:47:37 SGT 2025","passed","Sat Apr 26 05:47:40 SGT 2025","","","",""
"","2483","The user enters keyword and hitting enter key (example #4)","Homepage Search","Fri Apr 25 23:45:22 SGT 2025","passed","Fri Apr 25 23:45:25 SGT 2025","","","",""
"","2732","The user location and hitting enter key (example #4)","Search Page - Search Form","Sat Apr 26 05:47:34 SGT 2025","passed","Sat Apr 26 05:47:37 SGT 2025","","","",""
"","2227","The user date and clicking search button (example #2)","Search Page - Search Form","Sat Apr 26 05:47:16 SGT 2025","passed","Sat Apr 26 05:47:19 SGT 2025","","","",""
"","1813","The user enters keyword and hitting enter key (example #3)","Homepage Search Form","Sat Apr 26 05:45:11 SGT 2025","passed","Sat Apr 26 05:45:13 SGT 2025","","","",""
"","3043","The user location and clicking search button (example #5)","Search Page - Search Form","Sat Apr 26 05:47:52 SGT 2025","passed","Sat Apr 26 05:47:55 SGT 2025","","","",""
"","6707","The user can visit the social media sites (example #2)","Footer","Sat Apr 26 05:42:46 SGT 2025","passed","Sat Apr 26 05:42:52 SGT 2025","","","",""
"","3784","The user location and hitting enter key (example #4)","Search Form","Sat Apr 26 00:23:53 SGT 2025","passed","Sat Apr 26 00:23:57 SGT 2025","","","",""
"","10179","The user can see different searches other users make","People Searches","Fri Apr 25 23:44:57 SGT 2025","passed","Fri Apr 25 23:45:08 SGT 2025","","","",""
"","5631","The user is able to view recent keyword searches made (example #1)","Search Form","Sat Apr 26 00:24:19 SGT 2025","passed","Sat Apr 26 00:24:25 SGT 2025","","","",""
"","2700","The user location and clicking search button (example #3)","Search Page - Search Form","Sat Apr 26 05:47:46 SGT 2025","passed","Sat Apr 26 05:47:49 SGT 2025","","","",""
"","2434","The user keyword and clicking search button (example #2)","Search Page - Search Form","Sat Apr 26 05:46:55 SGT 2025","passed","Sat Apr 26 05:46:58 SGT 2025","","","",""
"","1832","The user enters keyword and hitting enter key (example #2)","Homepage Search Form","Sat Apr 26 05:45:09 SGT 2025","passed","Sat Apr 26 05:45:11 SGT 2025","","","",""
"","3265","The user location and clicking search button (example #4)","Search Form","Sat Apr 26 00:24:12 SGT 2025","passed","Sat Apr 26 00:24:15 SGT 2025","","","",""
"","6423","The user is able to view recent keyword searches made (example #1)","Homepage Search","Fri Apr 25 23:46:50 SGT 2025","passed","Fri Apr 25 23:46:56 SGT 2025","","","",""
"","32534","The user clicks the Topics menu","Navigation Bar","Sat Apr 26 05:43:40 SGT 2025","passed","Sat Apr 26 05:44:13 SGT 2025","","","",""
"","4584","The user keyword and clicking search button (example #3)","Homepage Search","Fri Apr 25 23:45:32 SGT 2025","passed","Fri Apr 25 23:45:36 SGT 2025","","","",""
"","2143","The user enters keyword and hitting enter key (example #4)","Search Page - Search Form","Sat Apr 26 05:46:50 SGT 2025","passed","Sat Apr 26 05:46:52 SGT 2025","","","",""
"","1577","The user can see the disclaimer at the bottom of the screen","Footer","Sat Apr 26 05:43:11 SGT 2025","passed","Sat Apr 26 05:43:13 SGT 2025","","","",""
"","3141","The user location and hitting enter key (example #1)","Search Page - Search Form","Sat Apr 26 05:47:25 SGT 2025","passed","Sat Apr 26 05:47:28 SGT 2025","","","",""
"","2895","The user clicks on the Try 7 Days Free","Try 7 Days Free Trial in Homepage","Sat Apr 26 05:44:47 SGT 2025","passed","Sat Apr 26 05:44:50 SGT 2025","","","",""
"","2228","The user can change the language of the website (example #4)","Footer","Sat Apr 26 05:43:19 SGT 2025","passed","Sat Apr 26 05:43:22 SGT 2025","","","",""
"","5136","The user keyword and clicking search button (example #1)","Search Form","Sat Apr 26 00:22:51 SGT 2025","passed","Sat Apr 26 00:22:56 SGT 2025","","","",""
"","2643","The user date and hitting enter key (example #2)","Search Page - Search Form","Sat Apr 26 05:47:05 SGT 2025","passed","Sat Apr 26 05:47:08 SGT 2025","","","",""
"","3976","The user receives error message for pressing back after logging out","Login Function","Sat Apr 26 05:44:35 SGT 2025","passed","Sat Apr 26 05:44:39 SGT 2025","","","",""
"","2123","The user is able to view the terms and access the links (example #3)","Footer","Sat Apr 26 05:43:06 SGT 2025","passed","Sat Apr 26 05:43:08 SGT 2025","","","",""
"","3622","The user location and clicking search button (example #1)","Search Form","Sat Apr 26 00:24:01 SGT 2025","passed","Sat Apr 26 00:24:05 SGT 2025","","","",""
"","1244","The user clicks the Sign In menu","Navigation Bar","Sat Apr 26 05:43:39 SGT 2025","passed","Sat Apr 26 05:43:40 SGT 2025","","","",""
"","1386","The user is able to view the date widget","Homepage Search Form","Sat Apr 26 05:46:35 SGT 2025","passed","Sat Apr 26 05:46:36 SGT 2025","","","",""
"","7432","The user is able to view recent keyword searches made (example #2)","Search Page - Recent Searches","Sat Apr 26 00:37:30 SGT 2025","broken","Sat Apr 26 00:37:37 SGT 2025","","","",""
"","2361","The user enters keyword and hitting enter key (example #1)","Search Page - Search Form","Sat Apr 26 05:46:43 SGT 2025","passed","Sat Apr 26 05:46:45 SGT 2025","","","",""
"","2027","The user keyword and clicking search button (example #4)","Homepage Search Form","Sat Apr 26 05:45:22 SGT 2025","passed","Sat Apr 26 05:45:24 SGT 2025","","","",""
"","5405","The user is able to view recent keyword searches made (example #2)","Homepage Search","Fri Apr 25 23:46:56 SGT 2025","passed","Fri Apr 25 23:47:02 SGT 2025","","","",""
"","3267","The user location and clicking search button (example #3)","Homepage Search","Fri Apr 25 23:46:38 SGT 2025","passed","Fri Apr 25 23:46:42 SGT 2025","","","",""
"","5828","The user date and hitting enter key (example #2)","Homepage Search","Fri Apr 25 23:45:42 SGT 2025","passed","Fri Apr 25 23:45:47 SGT 2025","","","",""
"","4232","The user location and hitting enter key (example #5)","Homepage Search Form","Sat Apr 26 05:46:03 SGT 2025","passed","Sat Apr 26 05:46:07 SGT 2025","","","",""
"","3591","The user location and clicking search button (example #5)","Homepage Search","Fri Apr 25 23:46:46 SGT 2025","passed","Fri Apr 25 23:46:50 SGT 2025","","","",""
"","2001","The user enters keyword and hitting enter key (example #2)","Search Page - Search Form","Sat Apr 26 05:46:45 SGT 2025","passed","Sat Apr 26 05:46:47 SGT 2025","","","",""
"","3183","The user is able to view the terms and access the links (example #2)","Footer","Sat Apr 26 05:43:02 SGT 2025","passed","Sat Apr 26 05:43:05 SGT 2025","","","",""
"","2859","The user clicks on the Try 7 Days Free","Try 7 Days Free Trial","Fri Apr 25 23:44:53 SGT 2025","passed","Fri Apr 25 23:44:56 SGT 2025","","","",""
"","966","The user receives error message for invalid inputs (example #4)","Login Function","Sat Apr 26 05:44:34 SGT 2025","passed","Sat Apr 26 05:44:35 SGT 2025","","","",""
"","591","The user receives error message for invalid inputs (example #3)","Login Function","Sat Apr 26 05:44:34 SGT 2025","passed","Sat Apr 26 05:44:34 SGT 2025","","","",""
"","2265","The user date and clicking search button (example #3)","Homepage Search Form","Sat Apr 26 05:45:41 SGT 2025","passed","Sat Apr 26 05:45:43 SGT 2025","","","",""
"","5237","The user can access the different footer links (example #8)","Footer","Sat Apr 26 05:42:37 SGT 2025","passed","Sat Apr 26 05:42:42 SGT 2025","","","",""
"","2729","The user location and clicking search button (example #1)","Search Page - Search Form","Sat Apr 26 05:47:40 SGT 2025","passed","Sat Apr 26 05:47:43 SGT 2025","","","",""
"","1608","The user is able to log in succesfully with valid credentials (example #1)","Login Function","Sat Apr 26 05:44:17 SGT 2025","passed","Sat Apr 26 05:44:19 SGT 2025","","","",""
"","3414","The user location and clicking search button (example #1)","Homepage Search","Fri Apr 25 23:46:31 SGT 2025","passed","Fri Apr 25 23:46:34 SGT 2025","","","",""
"","4816","The user can access the different footer links (example #6)","Footer","Sat Apr 26 05:42:26 SGT 2025","passed","Sat Apr 26 05:42:31 SGT 2025","","","",""
"","6852","The user location and hitting enter key (example #1)","Homepage Search","Fri Apr 25 23:46:06 SGT 2025","passed","Fri Apr 25 23:46:13 SGT 2025","","","",""
