"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2348","The user date and clicking search button (example #4)","Homepage Search Form","Sat Apr 26 05:45:43 SGT 2025","passed","Sat Apr 26 05:45:46 SGT 2025","","","",""
"","2535","The user date and hitting enter key (example #4)","Homepage Search Form","Sat Apr 26 05:45:33 SGT 2025","passed","Sat Apr 26 05:45:35 SGT 2025","","","",""
"","2281","The user date and hitting enter key (example #1)","Search Page - Search Form","Sat Apr 26 05:47:03 SGT 2025","passed","Sat Apr 26 05:47:05 SGT 2025","","","",""
"","1889","The user can change the language of the website (example #2)","Footer","Sat Apr 26 05:43:15 SGT 2025","passed","Sat Apr 26 05:43:17 SGT 2025","","","",""
"","2101","The user keyword and clicking search button (example #3)","Search Page - Search Form","Sat Apr 26 05:46:58 SGT 2025","passed","Sat Apr 26 05:47:00 SGT 2025","","","",""
"","1373","The user can access the different footer links (example #4)","Footer","Sat Apr 26 05:42:23 SGT 2025","passed","Sat Apr 26 05:42:25 SGT 2025","","","",""
"","2721","The user location and clicking search button (example #2)","Search Page - Search Form","Sat Apr 26 05:47:43 SGT 2025","passed","Sat Apr 26 05:47:46 SGT 2025","","","",""
"","2503","The user date and hitting enter key (example #3)","Homepage Search","Fri Apr 25 23:45:48 SGT 2025","passed","Fri Apr 25 23:45:50 SGT 2025","","","",""
"","2752","The user can see brief description of the site features","About Section in Homepage","Sat Apr 26 05:44:41 SGT 2025","passed","Sat Apr 26 05:44:44 SGT 2025","","","",""
"","890","The user is able to log in succesfully with valid credentials (example #2)","Login Function","Sat Apr 26 05:44:19 SGT 2025","passed","Sat Apr 26 05:44:20 SGT 2025","","","",""
"","3226","The user date and hitting enter key (example #1)","Search Form","Sat Apr 26 00:23:05 SGT 2025","passed","Sat Apr 26 00:23:08 SGT 2025","","","",""
"","3779","The user date and hitting enter key (example #4)","Search Form","Sat Apr 26 00:23:17 SGT 2025","passed","Sat Apr 26 00:23:21 SGT 2025","","","",""
"","1897","The user keyword and clicking search button (example #2)","Homepage Search Form","Sat Apr 26 05:45:18 SGT 2025","passed","Sat Apr 26 05:45:20 SGT 2025","","","",""
"","1873","The user enters keyword and hitting enter key (example #4)","Homepage Search Form","Sat Apr 26 05:45:13 SGT 2025","passed","Sat Apr 26 05:45:15 SGT 2025","","","",""
"","3141","The user location and hitting enter key (example #2)","Homepage Search Form","Sat Apr 26 05:45:52 SGT 2025","passed","Sat Apr 26 05:45:55 SGT 2025","","","",""
"","2168","The user can change the language of the website (example #1)","Footer","Sat Apr 26 05:43:13 SGT 2025","passed","Sat Apr 26 05:43:15 SGT 2025","","","",""
"","4083","The user location and hitting enter key (example #5)","Search Form","Sat Apr 26 00:23:57 SGT 2025","passed","Sat Apr 26 00:24:01 SGT 2025","","","",""
"","1685","The user is able to view the date widget","Search Page - Search Form","Sat Apr 26 05:48:05 SGT 2025","passed","Sat Apr 26 05:48:06 SGT 2025","","","",""
"","2498","The user keyword and clicking search button (example #2)","Homepage Search","Fri Apr 25 23:45:29 SGT 2025","passed","Fri Apr 25 23:45:31 SGT 2025","","","",""
"","4650","The user enters keyword and hitting enter key (example #4)","Search Form","Sat Apr 26 00:22:46 SGT 2025","passed","Sat Apr 26 00:22:50 SGT 2025","","","",""
"","3745","The user location and clicking search button (example #4)","Homepage Search","Fri Apr 25 23:46:42 SGT 2025","passed","Fri Apr 25 23:46:46 SGT 2025","","","",""
"","1847","The user enters keyword and hitting enter key (example #2)","Homepage Search","Fri Apr 25 23:45:18 SGT 2025","passed","Fri Apr 25 23:45:20 SGT 2025","","","",""
"","2501","The user location and hitting enter key (example #2)","Search Page - Search Form","Sat Apr 26 05:47:28 SGT 2025","passed","Sat Apr 26 05:47:31 SGT 2025","","","",""
"","5714","The user location and hitting enter key (example #1)","Homepage Search Form","Sat Apr 26 05:45:46 SGT 2025","passed","Sat Apr 26 05:45:51 SGT 2025","","","",""
"","2565","The user enters keyword and hitting enter key (example #1)","Homepage Search Form","Sat Apr 26 05:45:07 SGT 2025","passed","Sat Apr 26 05:45:09 SGT 2025","","","",""
"","2710","The user date and clicking search button (example #2)","Homepage Search Form","Sat Apr 26 05:45:38 SGT 2025","passed","Sat Apr 26 05:45:40 SGT 2025","","","",""
"","1366","The user clicks the Free Trial menu","Navigation Bar","Sat Apr 26 05:43:37 SGT 2025","passed","Sat Apr 26 05:43:39 SGT 2025","","","",""
"","2282","The user date and hitting enter key (example #4)","Homepage Search","Fri Apr 25 23:45:51 SGT 2025","passed","Fri Apr 25 23:45:53 SGT 2025","","","",""
"","1800","The user keyword and clicking search button (example #3)","Homepage Search Form","Sat Apr 26 05:45:20 SGT 2025","passed","Sat Apr 26 05:45:22 SGT 2025","","","",""
"","2314","The user date and clicking search button (example #4)","Search Form","Sat Apr 26 00:23:37 SGT 2025","passed","Sat Apr 26 00:23:39 SGT 2025","","","",""
"","2886","The user enters keyword and hitting enter key (example #3)","Search Form","Sat Apr 26 00:22:43 SGT 2025","passed","Sat Apr 26 00:22:45 SGT 2025","","","",""
"","2640","The user date and clicking search button (example #4)","Search Page - Search Form","Sat Apr 26 05:47:22 SGT 2025","passed","Sat Apr 26 05:47:24 SGT 2025","","","",""
"","4800","The user can see and check searches","People Searches","Fri Apr 25 23:45:08 SGT 2025","passed","Fri Apr 25 23:45:13 SGT 2025","","","",""
"","3154","The user location and clicking search button (example #1)","Homepage Search Form","Sat Apr 26 05:46:07 SGT 2025","passed","Sat Apr 26 05:46:11 SGT 2025","","","",""
"","4266","The user is able to view the terms and access the links (example #1)","Footer","Sat Apr 26 05:42:58 SGT 2025","passed","Sat Apr 26 05:43:02 SGT 2025","","","",""
"","5588","The user is able to view recent keyword searches made (example #2)","Search Form","Sat Apr 26 00:24:25 SGT 2025","passed","Sat Apr 26 00:24:31 SGT 2025","","","",""
"","1648","The user can change the language of the website (example #5)","Footer","Sat Apr 26 05:43:22 SGT 2025","passed","Sat Apr 26 05:43:23 SGT 2025","","","",""
"","1566","The user clicks the Papers menu","Navigation Bar","Sat Apr 26 05:43:34 SGT 2025","passed","Sat Apr 26 05:43:36 SGT 2025","","","",""
"","3145","The user date and clicking search button (example #3)","Homepage Search","Fri Apr 25 23:46:00 SGT 2025","passed","Fri Apr 25 23:46:03 SGT 2025","","","",""
"","5924","The user is able to log in succesfully with valid credentials (example #3)","Login Function","Sat Apr 26 05:44:20 SGT 2025","passed","Sat Apr 26 05:44:26 SGT 2025","","","",""
"","2535","The user clicks the Newspapers logo and is redirected to the homepage","Navigation Bar","Sat Apr 26 05:43:30 SGT 2025","passed","Sat Apr 26 05:43:33 SGT 2025","","","",""
"","3612","The user location and hitting enter key (example #2)","Search Form","Sat Apr 26 00:23:45 SGT 2025","passed","Sat Apr 26 00:23:48 SGT 2025","","","",""
"","2928","The user date and hitting enter key (example #3)","Homepage Search Form","Sat Apr 26 05:45:30 SGT 2025","passed","Sat Apr 26 05:45:32 SGT 2025","","","",""
"","1199","The user clicks the Search menu","Navigation Bar","Sat Apr 26 05:43:33 SGT 2025","passed","Sat Apr 26 05:43:34 SGT 2025","","","",""
"","5530","The user can access the different footer links (example #7)","Footer","Sat Apr 26 05:42:32 SGT 2025","passed","Sat Apr 26 05:42:37 SGT 2025","","","",""
"","3180","The user is able to search","Papers Page - Search","Sat Apr 26 05:40:37 SGT 2025","broken","Sat Apr 26 05:40:40 SGT 2025","","","",""
"","3490","The user location and clicking search button (example #2)","Homepage Search Form","Sat Apr 26 05:46:11 SGT 2025","passed","Sat Apr 26 05:46:14 SGT 2025","","","",""
"","2220","The user date and hitting enter key (example #2)","Homepage Search Form","Sat Apr 26 05:45:27 SGT 2025","passed","Sat Apr 26 05:45:29 SGT 2025","","","",""
"","1537","The user can access the different footer links (example #5)","Footer","Sat Apr 26 05:42:25 SGT 2025","passed","Sat Apr 26 05:42:26 SGT 2025","","","",""
"","2848","The user location and clicking search button (example #4)","Search Page - Search Form","Sat Apr 26 05:47:49 SGT 2025","passed","Sat Apr 26 05:47:52 SGT 2025","","","",""
"","2448","The user date and hitting enter key (example #1)","Homepage Search Form","Sat Apr 26 05:45:24 SGT 2025","passed","Sat Apr 26 05:45:27 SGT 2025","","","",""
"","2460","The user date and clicking search button (example #3)","Search Page - Search Form","Sat Apr 26 05:47:19 SGT 2025","passed","Sat Apr 26 05:47:21 SGT 2025","","","",""
"","1828","The user date and hitting enter key (example #1)","Homepage Search","Fri Apr 25 23:45:39 SGT 2025","passed","Fri Apr 25 23:45:41 SGT 2025","","","",""
"","7004","The user location and hitting enter key (example #3)","Homepage Search","Fri Apr 25 23:46:16 SGT 2025","passed","Fri Apr 25 23:46:23 SGT 2025","","","",""
"","3317","The user location and hitting enter key (example #5)","Homepage Search","Fri Apr 25 23:46:27 SGT 2025","passed","Fri Apr 25 23:46:30 SGT 2025","","","",""
"","2323","The user date and hitting enter key (example #4)","Search Page - Search Form","Sat Apr 26 05:47:11 SGT 2025","passed","Sat Apr 26 05:47:13 SGT 2025","","","",""
"","3084","The user can see and check searches","Common searches by other users in the Homepage","Sat Apr 26 05:45:02 SGT 2025","passed","Sat Apr 26 05:45:05 SGT 2025","","","",""
"","3103","The user keyword and clicking search button (example #4)","Homepage Search","Fri Apr 25 23:45:36 SGT 2025","passed","Fri Apr 25 23:45:39 SGT 2025","","","",""
"","4347","The user receives error message for invalid inputs (example #1)","Login Function","Sat Apr 26 05:44:29 SGT 2025","failed","Sat Apr 26 05:44:33 SGT 2025","","","",""
"","3737","The user location and hitting enter key (example #4)","Homepage Search","Fri Apr 25 23:46:23 SGT 2025","passed","Fri Apr 25 23:46:27 SGT 2025","","","",""
"","3521","The user enters keyword and hitting enter key (example #1)","Search Form","Sat Apr 26 00:22:36 SGT 2025","passed","Sat Apr 26 00:22:39 SGT 2025","","","",""
"","579","The user receives error message for invalid inputs (example #2)","Login Function","Sat Apr 26 05:44:33 SGT 2025","passed","Sat Apr 26 05:44:34 SGT 2025","","","",""
"","5154","The user can access the different footer links (example #2)","Footer","Sat Apr 26 05:42:16 SGT 2025","passed","Sat Apr 26 05:42:21 SGT 2025","","","",""
"","2787","The user date and clicking search button (example #1)","Search Form","Sat Apr 26 00:23:21 SGT 2025","passed","Sat Apr 26 00:23:24 SGT 2025","","","",""
"","1729","The user is able to log in succesfully with valid credentials (example #4)","Login Function","Sat Apr 26 05:44:26 SGT 2025","passed","Sat Apr 26 05:44:28 SGT 2025","","","",""
"","2517","The user date and clicking search button (example #4)","Homepage Search","Fri Apr 25 23:46:03 SGT 2025","passed","Fri Apr 25 23:46:06 SGT 2025","","","",""
"","3338","The user date and hitting enter key (example #2)","Search Form","Sat Apr 26 00:23:09 SGT 2025","passed","Sat Apr 26 00:23:12 SGT 2025","","","",""
"","5014","The user is able to view recent keyword searches made (example #1)","Homepage Search Form","Sat Apr 26 05:46:25 SGT 2025","passed","Sat Apr 26 05:46:30 SGT 2025","","","",""
"","2679","The language change persists on other pages","Footer","Sat Apr 26 05:43:26 SGT 2025","passed","Sat Apr 26 05:43:29 SGT 2025","","","",""
"","1472","The user clicks the Clippings menu","Navigation Bar","Sat Apr 26 05:43:36 SGT 2025","passed","Sat Apr 26 05:43:37 SGT 2025","","","",""
"","3374","The user is able to view the terms and access the links (example #4)","Footer","Sat Apr 26 05:43:08 SGT 2025","passed","Sat Apr 26 05:43:11 SGT 2025","","","",""
"","4830","The user is able to view recent keyword searches made (example #2)","Homepage Search Form","Sat Apr 26 05:46:30 SGT 2025","passed","Sat Apr 26 05:46:35 SGT 2025","","","",""
"","7730","The user date and clicking search button (example #2)","Search Form","Sat Apr 26 00:23:24 SGT 2025","passed","Sat Apr 26 00:23:32 SGT 2025","","","",""
"","8670","The user is able to view recent keyword searches made","Search Page - Recent Searches","Sat Apr 26 02:56:42 SGT 2025","passed","Sat Apr 26 02:56:51 SGT 2025","","","",""
"","2029","The user date and clicking search button (example #1)","Homepage Search Form","Sat Apr 26 05:45:35 SGT 2025","passed","Sat Apr 26 05:45:37 SGT 2025","","","",""
"","2489","The user keyword and clicking search button (example #2)","Search Form","Sat Apr 26 00:22:56 SGT 2025","passed","Sat Apr 26 00:22:59 SGT 2025","","","",""
"","5910","The user is able to view and visit recent searches","Search Page - Recent Searches","Sat Apr 26 05:48:09 SGT 2025","passed","Sat Apr 26 05:48:15 SGT 2025","","","",""
"","4128","The user location and hitting enter key (example #3)","Homepage Search Form","Sat Apr 26 05:45:55 SGT 2025","passed","Sat Apr 26 05:45:59 SGT 2025","","","",""
"","4476","The user is able to view recent keyword searches made (example #2)","Search Page - Search Form","Sat Apr 26 05:48:00 SGT 2025","passed","Sat Apr 26 05:48:05 SGT 2025","","","",""
"","1782","The user is able to view the location widget","Search Form","Sat Apr 26 00:24:33 SGT 2025","passed","Sat Apr 26 00:24:35 SGT 2025","","","",""
"","2360","The user keyword and clicking search button (example #1)","Homepage Search Form","Sat Apr 26 05:45:15 SGT 2025","passed","Sat Apr 26 05:45:18 SGT 2025","","","",""
"","3175","The user can visit the social media sites (example #1)","Footer","Sat Apr 26 05:42:43 SGT 2025","passed","Sat Apr 26 05:42:46 SGT 2025","","","",""
"","3027","The user keyword and clicking search button (example #3)","Search Form","Sat Apr 26 00:22:59 SGT 2025","passed","Sat Apr 26 00:23:02 SGT 2025","","","",""
"","2782","The user enters keyword and hitting enter key (example #3)","Search Page - Search Form","Sat Apr 26 05:46:47 SGT 2025","passed","Sat Apr 26 05:46:50 SGT 2025","","","",""
"","3727","The user location and clicking search button (example #3)","Homepage Search Form","Sat Apr 26 05:46:14 SGT 2025","passed","Sat Apr 26 05:46:18 SGT 2025","","","",""
"","5307","The user location and hitting enter key (example #1)","Search Form","Sat Apr 26 00:23:39 SGT 2025","passed","Sat Apr 26 00:23:45 SGT 2025","","","",""
"","3124","The user location and clicking search button (example #4)","Homepage Search Form","Sat Apr 26 05:46:18 SGT 2025","passed","Sat Apr 26 05:46:21 SGT 2025","","","",""
"","8971","The user is able to view recent keyword searches made (example #1)","Search Page - Recent Searches","Sat Apr 26 00:50:04 SGT 2025","passed","Sat Apr 26 00:50:12 SGT 2025","","","",""
"","771","The user is able to view the location widget","Homepage Search Form","Sat Apr 26 05:46:36 SGT 2025","passed","Sat Apr 26 05:46:37 SGT 2025","","","",""
